	stId
0	R-HSA-73857
1	R-HSA-212436
2	R-HSA-9675108
3	R-HSA-418555
4	R-HSA-418594
5	R-HSA-5663202
6	R-HSA-6798695
7	R-HSA-983169
8	R-HSA-373076
9	R-HSA-194315
10	R-HSA-381753
11	R-HSA-446203
12	R-HSA-5668914
13	R-HSA-1474244
14	R-HSA-1257604
15	R-HSA-198933
16	R-HSA-983168
17	R-HSA-9607240
18	R-HSA-211945
19	R-HSA-9662851
20	R-HSA-9664433
21	R-HSA-5673001
22	R-HSA-5688426
23	R-HSA-416476
24	R-HSA-5619115
25	R-HSA-69620
26	R-HSA-9609646
27	R-HSA-162906
28	R-HSA-8878171
29	R-HSA-156580
30	R-HSA-202733
31	R-HSA-72203
32	R-HSA-4839726
33	R-HSA-3247509
34	R-HSA-8939211
35	R-HSA-196849
36	R-HSA-877300
37	R-HSA-2555396
38	R-HSA-68882
39	R-HSA-72312
40	R-HSA-8951664
41	R-HSA-376176
42	R-HSA-2454202
43	R-HSA-1428517
44	R-HSA-112314
45	R-HSA-1483206
46	R-HSA-6805567
47	R-HSA-948021
48	R-HSA-6811442
49	R-HSA-201681
50	R-HSA-9609690
51	R-HSA-453274
52	R-HSA-69275
53	R-HSA-68877
54	R-HSA-6785807
55	R-HSA-375276
56	R-HSA-5617833
57	R-HSA-983712
58	R-HSA-5689880
59	R-HSA-5621481
60	R-HSA-3781865
61	R-HSA-168255
62	R-HSA-72172
63	R-HSA-2467813
64	R-HSA-983231
65	R-HSA-2029480
66	R-HSA-2990846
67	R-HSA-983705
68	R-HSA-6791226
69	R-HSA-1236975
70	R-HSA-72163
71	R-HSA-5619102
72	R-HSA-211897
73	R-HSA-168898
74	R-HSA-909733
75	R-HSA-9010553
76	R-HSA-1630316
77	R-HSA-2408522
78	R-HSA-69242
79	R-HSA-162587
80	R-HSA-400206
81	R-HSA-168273
82	R-HSA-2871837
83	R-HSA-9610379
84	R-HSA-1989781
85	R-HSA-453279
86	R-HSA-5576891
87	R-HSA-6807070
88	R-HSA-2187338
89	R-HSA-2173782
90	R-HSA-3858494
91	R-HSA-2142753
92	R-HSA-1236974
93	R-HSA-425393
94	R-HSA-425366
95	R-HSA-446652
96	R-HSA-162599
97	R-HSA-8856828
98	R-HSA-9660821
99	R-HSA-446193
100	R-HSA-2029482
101	R-HSA-428157
102	R-HSA-9664407
103	R-HSA-9664422
104	R-HSA-9664417
105	R-HSA-166658
106	R-HSA-381119
107	R-HSA-9018519
108	R-HSA-69481
109	R-HSA-69206
110	R-HSA-1632852
111	R-HSA-162909
112	R-HSA-163200
113	R-HSA-5663220
114	R-HSA-2132295
115	R-HSA-8856688
116	R-HSA-1474228
117	R-HSA-202403
118	R-HSA-8878166
119	R-HSA-163685
120	R-HSA-76005
121	R-HSA-194840
122	R-HSA-166016
123	R-HSA-187037
124	R-HSA-9664323
125	R-HSA-70326
126	R-HSA-977606
127	R-HSA-8956319
128	R-HSA-6809371
129	R-HSA-114608
130	R-HSA-194138
