Term	es	nes	pval	fdr	geneset_size	matched_size	genes	ledge_genes	cancer_type
Fat digestion and absorption	-0.7541764269703629	-4.55249171053228	0.0	0.0	41	21	MTTP;DGAT1;CEL;FABP1;SCARB1;PLPP2;ABCA1;AGPAT2;PLA2G12A;PLPP1;AGPAT1;PLA2G3;SLC27A4;GOT2;CD36;PLA2G2A;ACAT2;PLPP3;APOB;APOA1;APOA4	GOT2;CD36;PLA2G2A;ACAT2;PLPP3;APOB;APOA1;APOA4	hnscc
Neuroactive ligand-receptor interaction	-0.6652674306808007	-5.022710819942367	0.0	0.0	338	47	GZMA;CTSG;NTS;P2RX4;SST;ADRA2A;P2RX1;NMU;VIP;FPR2;THRA;GPR50;LPAR2;GAL;POMC;UTS2;PRLR;HRH1;FSHR;FPR1;LTB4R;ADM;EDNRA;GABRB1;C3AR1;GRID1;LEPR;LEP;CALCRL;CALCB;P2RY2;PENK;LPAR1;CALCA;PTAFR;C5AR1;NR3C1;P2RX7;PARD3;PRSS2;TSPO;PLG;C5;F2;C3;AGT;KNG1	PARD3;PRSS2;TSPO;PLG;C5;F2;C3;AGT;KNG1	hnscc
Measles	0.5677105739263871	4.16135528064918	0.0	0.007080421361478433	138	108	ADAR;EIF2AK2;STAT2;BAX;OAS2;MSN;OAS3;IRF9;STAT1;IFIH1;DDX58;CDK2;BID;CSNK2A2;MAP3K7;TAB2;TLR2;CDK6;CSNK2A1;CASP8;MX1;RELA;CHUK;TNFAIP3;APAF1;STAT3;IRF3;CSNK2B;MAPK8;TBK1;PIK3CD;MYD88;CASP3;EIF2S1;EIF2AK4;JUN;PIK3CA;BAK1;OAS1;GSK3B;IKBKG;FADD;IRAK4;RAB9A;PIK3R1;AKT1;FAS;TP53;EIF3H;IL1A;TRAF3;CD3G;HSPA6;IKBKB;RACK1;CD3D;TRADD;HSPA8;FOS;CCND2;CD3E;EIF2AK3;RCHY1;TP73;CBLB;CCND3;NFKBIA;IRAK1;IKBKE;TRAF6;IL1B;BCL2;IRF7;HSPA1L;PIK3R2;TLR7;NFKB1;IL2RG;CCNE1;CCNE2;CD28;CCND1;IFNAR2;EIF2AK1;TLR9;RAB9B;CASP9;CDK4;AKT3;JAK3;BAD;TYK2;NFKBIB;CD46;STAT5B;JAK1;CD209;BCL2L1;STAT5A;MAVS;FCGR2B;HSPA2;PIK3CB;CYCS;MAPK9;AKT2;HSPA1A;CDKN1B	ADAR;EIF2AK2;STAT2;BAX;OAS2;MSN;OAS3;IRF9;STAT1;IFIH1;DDX58;CDK2;BID;CSNK2A2;MAP3K7;TAB2;TLR2;CDK6;CSNK2A1;CASP8;MX1;RELA;CHUK;TNFAIP3;APAF1;STAT3;IRF3;CSNK2B;MAPK8;TBK1;PIK3CD;MYD88;CASP3;EIF2S1;EIF2AK4;JUN;PIK3CA;BAK1;OAS1	hnscc
RNA transport	0.6884134521200779	4.107191035590801	0.0	0.007552449452243661	165	146	NCBP2;EIF2S2;MAGOHB;NCBP1;TACC3;XPO5;NUP58;EIF2S3;EIF4G2;POP1;NUP62;NXT2;RAN;NUP88;RBM8A;XPOT;SUMO1;SAP18;NUP50;PNN;RPP38;THOC5;EIF4B;THOC7;EIF4G1;TGS1;NXF1;THOC2;THOC1;TPR;NUP214;NUP98;FMR1;NMD3;POM121;EIF4G3;NUP153;ALYREF;RNPS1;FXR1;EIF4A3;THOC6;XPO1;SEH1L;NUP35;NUP155;NUPL2;GEMIN4;UPF2;PABPC1;POP7;RANGAP1;NUP107;NUP93;EIF3A;GEMIN5;NUP188;NUP205;CASC3;EIF2B2;ACIN1;NUP210;RANBP2;EIF3G;NUP160;NDC1;SUMO2;RPP30;UPF1;ELAC2;NUP37;DDX20;PHAX;EIF2S1;EIF4E2;EIF3J;NUP54;POP4;EIF5B;UPF3B;CYFIP2;NXT1;FXR2;NUP85;RPP40;NUP133;RPP25;GEMIN6;SRRM1;EIF4A1;EIF3C;PABPC4;DDX39B;EIF2B1;EIF3E;RAE1;UBE2I;AAAS;KPNB1;PAIP1;EIF2B3;SEC13;TRNT1;EIF5;SMN1;EIF1AX;EIF2B4;EIF3D;STRAP;SNUPN;EIF3H;CYFIP1;EIF3B;CLNS1A;GEMIN7;POP5;GEMIN2;RPP25L;POM121C;SUMO3;EIF4EBP3;UPF3A;PABPC4L;RPP14;EIF1AY;GEMIN8;PABPC3;EIF3I;NUP210L;PRMT5;THOC3;ELAC1;EIF4E;EIF2B5;SENP2;EIF4EBP1;RPP21;EIF3F;EIF1B;EIF1;EIF4A2;EIF4EBP2;PYM1;EEF1A2;EEF1A1;NUP43	NCBP2;EIF2S2;MAGOHB;NCBP1;TACC3;XPO5;NUP58;EIF2S3;EIF4G2;POP1;NUP62;NXT2;RAN;NUP88;RBM8A;XPOT;SUMO1;SAP18;NUP50;PNN;RPP38;THOC5;EIF4B;THOC7;EIF4G1;TGS1;NXF1;THOC2;THOC1;TPR;NUP214;NUP98;FMR1;NMD3;POM121;EIF4G3;NUP153;ALYREF;RNPS1;FXR1;EIF4A3;THOC6;XPO1;SEH1L;NUP35;NUP155;NUPL2;GEMIN4;UPF2;PABPC1;POP7;RANGAP1;NUP107;NUP93;EIF3A;GEMIN5;NUP188;NUP205;CASC3;EIF2B2;ACIN1;NUP210;RANBP2;EIF3G;NUP160;NDC1;SUMO2;RPP30;UPF1;ELAC2;NUP37;DDX20;PHAX;EIF2S1;EIF4E2;EIF3J;NUP54;POP4;EIF5B;UPF3B;CYFIP2;NXT1;FXR2;NUP85;RPP40;NUP133;RPP25;GEMIN6;SRRM1;EIF4A1;EIF3C;PABPC4;DDX39B;EIF2B1;EIF3E;RAE1;UBE2I;AAAS;KPNB1;PAIP1;EIF2B3;SEC13	hnscc
Tyrosine metabolism	-0.8288859225865557	-4.376638176044172	0.0	0.008498380063648054	36	26	IL4I1;ALDH3B1;HGD;TH;DBH;DDC;ADH6;ALDH1A3;MIF;GOT2;COMT;FAHD1;FAH;ALDH3A1;GOT1;ADH7;GSTZ1;AOX1;ADH5;MAOA;ADH1A;AOC3;ADH1C;ADH4;MAOB;ADH1B	COMT;FAHD1;FAH;ALDH3A1;GOT1;ADH7;GSTZ1;AOX1;ADH5;MAOA;ADH1A;AOC3;ADH1C;ADH4;MAOB;ADH1B	hnscc
Chemical carcinogenesis	-0.7580497040452496	-4.1943451058737775	0.0	0.008608748635903224	82	47	GSTO1;ALDH3B1;CYP3A5;CYP1B1;ADH6;CYP1A1;HSD11B1;KYAT1;ALDH1A3;CYP2C19;PTGS2;SULT1A2;UGT1A8;NAT1;ARNT;GSTM5;CYP2C18;GSTM1;SULT1A1;MGST1;GSTT2B;GSTA1;GSTP1;UGT1A6;AKR1C2;GSTM4;MGST3;GSTA4;GSTM3;GSTT1;CBR1;GSTK1;UGT1A10;GSTM2;EPHX1;ALDH3A1;MGST2;ADH7;ADH5;UGT1A7;KYAT3;ADH1A;HPGDS;ADH1C;SULT1A4;ADH4;ADH1B	SULT1A1;MGST1;GSTT2B;GSTA1;GSTP1;UGT1A6;AKR1C2;GSTM4;MGST3;GSTA4;GSTM3;GSTT1;CBR1;GSTK1;UGT1A10;GSTM2;EPHX1;ALDH3A1;MGST2;ADH7;ADH5;UGT1A7;KYAT3;ADH1A;HPGDS;ADH1C;SULT1A4;ADH4;ADH1B	hnscc
Glycolysis / Gluconeogenesis	-0.6688068709098713	-4.2369314523055195	0.0	0.008903064828583674	68	60	ADPGK;HK3;HK2;MINPP1;PFKP;ALDH3B1;ALDOB;FBP1;LDHA;ADH6;HKDC1;G6PC3;PCK1;LDHAL6B;GAPDHS;PGK2;ALDH1A3;LDHC;ENO1;PCK2;PKM;ENO2;PFKL;ALDH1B1;PGAM1;ALDOC;PGM2;BPGM;TPI1;GALM;ACSS1;LDHB;PGK1;HK1;GPI;FBP2;ENO3;PGAM2;PFKM;GAPDH;ALDOA;PGM1;PKLR;DLD;ALDH3A1;AKR1A1;ACSS2;ALDH3A2;PDHA1;ADH7;DLAT;ADH5;PDHB;ALDH7A1;ADH1A;ALDH2;ADH1C;ADH4;ALDH9A1;ADH1B	TPI1;GALM;ACSS1;LDHB;PGK1;HK1;GPI;FBP2;ENO3;PGAM2;PFKM;GAPDH;ALDOA;PGM1;PKLR;DLD;ALDH3A1;AKR1A1;ACSS2;ALDH3A2;PDHA1;ADH7;DLAT;ADH5;PDHB;ALDH7A1;ADH1A;ALDH2;ADH1C;ADH4;ALDH9A1;ADH1B	hnscc
Tryptophan metabolism	-0.7488065941085521	-4.208482747434624	0.0	0.009105407211051486	42	35	IL4I1;KYNU;IDO1;EHHADH;AOC1;AADAT;ALDH8A1;CYP1B1;DDC;CYP1A1;TPH1;KYAT1;INMT;AFMID;KMO;ALDH1B1;DHTKD1;ACAT2;CAT;DLST;HADHA;DLD;GCDH;ALDH3A2;AOX1;ALDH7A1;KYAT3;MAOA;HADH;ACAT1;HAAO;ALDH2;ECHS1;ALDH9A1;MAOB	DHTKD1;ACAT2;CAT;DLST;HADHA;DLD;GCDH;ALDH3A2;AOX1;ALDH7A1;KYAT3;MAOA;HADH;ACAT1;HAAO;ALDH2;ECHS1;ALDH9A1;MAOB	hnscc
Glycine, serine and threonine metabolism	-0.7306259134425889	-4.159320117886495	0.0	0.00971243435845492	40	30	SHMT2;PSAT1;PSPH;SDSL;SARDH;PIPOX;GLDC;CBS;GCAT;AGXT;SDS;ALAS1;AMT;SRR;CTH;PGAM1;BPGM;CHDH;PGAM2;PHGDH;GCSH;DLD;GAMT;GATM;ALDH7A1;MAOA;GRHPR;AOC3;SHMT1;MAOB	CHDH;PGAM2;PHGDH;GCSH;DLD;GAMT;GATM;ALDH7A1;MAOA;GRHPR;AOC3;SHMT1;MAOB	hnscc
PPAR signaling pathway	-0.5915359355290326	-4.237760041297477	0.0	0.010015947932156636	74	58	MMP1;ACSL4;RXRB;CPT1A;PLIN2;EHHADH;ACSL3;GK;SCD;FADS2;FABP5;PDPK1;SCD5;ACSL5;RXRA;ACOX2;APOA5;PCK1;FABP1;PPARD;OLR1;LPL;CPT1C;ACADL;FABP6;ACSL6;PCK2;SLC27A6;PLIN5;FABP7;ANGPTL4;SLC27A4;FABP4;PLTP;SLC27A2;ILK;CD36;FABP3;ME1;CPT1B;ACOX1;SLC27A1;CYP27A1;ACSL1;ACADM;SCP2;ACAA1;CPT2;APOC3;HMGCS2;PLIN4;ACOX3;ADIPOQ;DBI;APOA1;PLIN1;APOA2;SORBS1	SLC27A2;ILK;CD36;FABP3;ME1;CPT1B;ACOX1;SLC27A1;CYP27A1;ACSL1;ACADM;SCP2;ACAA1;CPT2;APOC3;HMGCS2;PLIN4;ACOX3;ADIPOQ;DBI;APOA1;PLIN1;APOA2;SORBS1	hnscc
