Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
CUSTOM140674733480768	2-LTR circle formation	7/13			BANF1;XRCC5;PSIP1;HMGA1;XRCC6;XRCC4;LIG4
CUSTOM140674733480768	5-Phosphoribose 1-diphosphate biosynthesis	3/3			PRPS1L1;PRPS2;PRPS1
CUSTOM140674733480768	A tetrasaccharide linker sequence is required for GAG synthesis	25/26			SDC2;B3GALT6;GPC5;SDC4;BGN;CSPG4;VCAN;B4GALT7;CSPG5;B3GAT3;SDC3;B3GAT2;GPC1;NCAN;GPC6;DCN;HSPG2;B3GAT1;SDC1;BCAN;XYLT2;GPC3;GPC4;AGRN;XYLT1
CUSTOM140674733480768	ABC transporter disorders	71/77			PSMB2;PSMB9;ERLEC1;SEL1L;PSMD12;PSMD8;PSMD11;RPS27A;PSMC1;PSMA5;PSMA4;PSMA7;ERLIN1;PSMD10;KCNJ11;PSMB4;APOA1;PSMA1;PSMD6;CFTR;PSMB3;ABCC9;PSMB10;PSMA6;ABCC8;ABCD1;PSMC6;RNF185;OS9;DERL3;PSMC3;PSME2;PSMD9;PSMD4;PSMD5;ABCA1;PSMC4;ABCA12;PSMB11;PSMA2;PSMD1;PSMD14;PSMD3;UBB;ABCC2;DERL1;PSMD7;ABCB6;PSMC2;PSMB8;ABCA3;RNF5;ABCC6;PSMD13;PSME1;DERL2;UBA52;PSMB1;PSMA8;PSMA3;PSMC5;VCP;ERLIN2;PSMB6;PSMF1;PSMD2;PSMB7;PSME3;PSME4;PSMB5;ABCD4
CUSTOM140674733480768	ABC transporters in lipid homeostasis	15/18			ABCA2;ABCA12;ABCD3;ABCG1;ABCA10;ABCA5;ABCD2;ABCA6;ABCD1;ABCA9;PEX3;APOA1;ABCA3;PEX19;ABCA7
CUSTOM140674733480768	ABC-family proteins mediated transport	94/103			PSMB9;PSMD11;PSMA5;EIF2S1;KCNJ11;PSMB4;PSMB10;ABCB7;ABCD1;PSMC6;RNF185;ABCA2;ABCA12;PSMB11;ABCG1;ABCC2;ABCB6;RNF5;ABCC6;PSME1;ABCB1;DERL2;UBA52;PSMA8;PSMA3;ERLIN2;PSMB6;ABCA6;ABCB9;ABCC10;PSMB5;PSMB2;PSMD12;ABCD2;PEX3;PSMD10;EIF2S3;PSMB3;ABCB10;ABCA9;OS9;DERL3;PSMC3;PSME2;PSMA2;PSMD14;PSMD3;ABCF1;ABCC4;UBB;DERL1;PSMD7;PSMB8;PSMC5;ERLEC1;SEL1L;RPS27A;PSMA4;PSMA7;ERLIN1;PEX19;PSMA1;ABCA7;ABCC9;ABCC5;PSMD4;PSMD5;PSMD1;PSMC2;ABCA3;ABCB8;PSMF1;PSME3;PSMD13;ABCA8;ABCC1;PSMD8;PSMC1;APOA1;PSMD6;CFTR;PSMA6;EIF2S2;ABCA5;ABCC3;PSMD9;PSMC4;ABCD3;ABCA10;PSME4;PSMB1;PSMD2;PSMB7;VCP
CUSTOM140674733480768	ABO blood group biosynthesis	2/3			FUT2;ABO
CUSTOM140674733480768	ADORA2B mediated anti-inflammatory cytokines production	56/134			RAMP1;GNG5;PRKAR1A;GNAI1;GNGT2;POMC;ADCY1;GNG12;GNG2;GNG11;PRKACA;PRKAR1B;GNB5;PRKAR2A;ADCY3;GNB3;GNG10;GNG4;ADCY6;ADCY2;GNG7;GNG8;GCG;VIPR1;PTHLH;VIP;GPR39;FSHR;PRKX;PRKACB;GNAI3;RAMP2;GNAI2;GNAS;GNG13;CREB1;ADM;PRKACG;GNGT1;GPR84;ADCY7;GNAZ;ADCY8;ADCYAP1;RAMP3;CRH;GNB4;GNG3;GNB1;CALCRL;ADCY9;PRKAR2B;PTH1R;GNB2;ADCY5;PTGDR
CUSTOM140674733480768	ADP signalling through P2Y purinoceptor 1	24/25			GNG5;GNGT2;GNG12;GNG2;GNG11;GNB5;GNB3;GNG10;GNG4;PLA2G4A;GNG7;GNG8;GNAQ;GNA11;SRC;MAPK14;GNA14;GNA15;GNG13;GNGT1;GNB4;GNG3;GNB1;GNB2
CUSTOM140674733480768	ADP signalling through P2Y purinoceptor 12	21/22			GNG5;GNAI1;GNGT2;GNG12;GNG2;GNG11;P2RY12;GNB5;GNB3;GNG10;GNG4;GNG7;GNG8;GNAI2;GNG13;GNGT1;GNB4;GNG3;GNB1;GNB2;GNAI3
