ID	Name	Size	Coverage	TDP.bound	TDP.estimate	SC.adjP	Comp.adjP	Comp.0.9.adjP	cancer_type
1	R-HSA-164843	13	0.69	0.4444444444444444	0.4444444444444444	0	1	1	ccrcc
2	R-HSA-73843	3	0.67	0.5	0.5	0	1	1	ccrcc
3	R-HSA-1971475	26	0.77	0.5	0.5	0	1	1	ccrcc
4	R-HSA-5619084	77	0.86	0.803030303030303	0.8181818181818182	0	0	1	ccrcc
5	R-HSA-1369062	18	0.56	0.4	0.4	0	1	1	ccrcc
6	R-HSA-382556	103	0.84	0.7126436781609196	0.7241379310344828	0	0	1	ccrcc
7	R-HSA-9033807	3	0.33	0	0	1	1	1	ccrcc
8	R-HSA-9660821	134	0.31	0.6666666666666666	0.6666666666666666	0	0.504	1	ccrcc
9	R-HSA-418592	25	0.84	0.6666666666666666	0.6666666666666666	0	1	1	ccrcc
10	R-HSA-392170	22	0.77	0.7058823529411765	0.7058823529411765	0	0	1	ccrcc
11	R-HSA-198323	14	0.93	0.6153846153846154	0.6923076923076923	0	0.2914	1	ccrcc
12	R-HSA-198693	10	0.8	0.625	0.625	0	0.9228284386617102	1	ccrcc
13	R-HSA-211163	4	1	0.5	0.5	0	0.9228284386617102	1	ccrcc
14	R-HSA-112122	1	1	1	1	0	0	0	ccrcc
15	R-HSA-112126	4	1	1	1	0	0	0	ccrcc
16	R-HSA-4839748	14	1.21	0.4117647058823529	0.4117647058823529	0	1	1	ccrcc
17	R-HSA-163680	8	1	0.5	0.5	0	1	1	ccrcc
18	R-HSA-5467333	1	2	0	0	1	1	1	ccrcc
19	R-HSA-5467337	14	1.21	0.4117647058823529	0.4117647058823529	0	1	1	ccrcc
20	R-HSA-179409	26	0.85	0.4090909090909091	0.5454545454545454	0	1	1	ccrcc
21	R-HSA-174143	88	0.91	0.7	0.75	0	0	1	ccrcc
22	R-HSA-174048	24	0.88	0.47619047619047616	0.5714285714285714	0	1	1	ccrcc
23	R-HSA-174154	68	0.93	0.746031746031746	0.7936507936507936	0	0	1	ccrcc
24	R-HSA-176409	76	0.91	0.7246376811594203	0.782608695652174	0	0	1	ccrcc
25	R-HSA-174178	74	0.95	0.7	0.7428571428571429	0	0	1	ccrcc
26	R-HSA-179419	74	0.92	0.7205882352941176	0.7794117647058824	0	0	1	ccrcc
27	R-HSA-5649702	7	0.71	0.2	0.2	0	1	1	ccrcc
28	R-HSA-180689	11	0.55	0.6666666666666666	0.6666666666666666	0	1	1	ccrcc
29	R-HSA-5624958	3	1	0.3333333333333333	0.3333333333333333	0	1	1	ccrcc
30	R-HSA-170984	7	0.86	0.6666666666666666	0.6666666666666666	0	1	1	ccrcc
31	R-HSA-380994	28	0.86	0.5416666666666666	0.5416666666666666	0	1	1	ccrcc
32	R-HSA-381183	10	0.7	0.8571428571428571	0.8571428571428571	0	0	1	ccrcc
33	R-HSA-381033	12	0.75	0.6666666666666666	0.6666666666666666	0	1	1	ccrcc
34	R-HSA-1296025	4	0.25	0	0	1	1	1	ccrcc
35	R-HSA-450408	55	0.93	0.8235294117647058	0.8431372549019608	0	0	1	ccrcc
36	R-HSA-8854518	72	0.94	0.5294117647058824	0.5588235294117647	0	1	1	ccrcc
37	R-HSA-5467340	14	1.21	0.4117647058823529	0.4117647058823529	0	1	1	ccrcc
38	R-HSA-4839735	14	1.21	0.4117647058823529	0.4117647058823529	0	1	1	ccrcc
39	R-HSA-2161541	5	1	0.8	0.8	0	0	1	ccrcc
40	R-HSA-2161517	5	0.8	0.75	0.75	0	0	1	ccrcc
41	R-HSA-2161522	10	0.9	0.7777777777777778	0.7777777777777778	0	0	1	ccrcc
42	R-HSA-73930	2	1	0	0	1	1	1	ccrcc
43	R-HSA-9659787	17	0.76	0.6153846153846154	0.6153846153846154	0	1	1	ccrcc
44	R-HSA-9687139	36	0.89	0.5	0.5625	0	1	1	ccrcc
45	R-HSA-9687136	20	1	0.45	0.55	0	1	1	ccrcc
46	R-HSA-2978092	1	1	1	1	0	0	0	ccrcc
47	R-HSA-167242	23	0.96	0.4090909090909091	0.4090909090909091	0	1	1	ccrcc
48	R-HSA-156582	2	0.5	0	0	1	1	1	ccrcc
49	R-HSA-264642	17	0.59	0.4	0.4	0	1	1	ccrcc
50	R-HSA-181431	14	0	NA	NA	NA	NA	NA	ccrcc
51	R-HSA-399997	10	0.9	0.7777777777777778	0.7777777777777778	0	0	1	ccrcc
52	R-HSA-1300645	6	0.17	1	1	0	0	0	ccrcc
53	R-HSA-2122948	31	0.65	0.6	0.6	0	1	1	ccrcc
54	R-HSA-9032845	6	0.5	0.3333333333333333	0.3333333333333333	0	1	1	ccrcc
55	R-HSA-9028731	11	0.73	0.625	0.625	0	1	1	ccrcc
56	R-HSA-9032500	7	0.57	0.5	0.5	0	1	1	ccrcc
57	R-HSA-9028335	7	0.57	0.75	0.75	0	0	1	ccrcc
58	R-HSA-9026527	4	0.25	1	1	0	0	0	ccrcc
59	R-HSA-9026519	9	0.78	0.5714285714285714	0.5714285714285714	0	1	1	ccrcc
60	R-HSA-9603381	6	0.67	0.5	0.5	0	1	1	ccrcc
61	R-HSA-9034793	3	0.33	1	1	0	0	0	ccrcc
62	R-HSA-9034864	8	0.88	0.5714285714285714	0.5714285714285714	0	1	1	ccrcc
63	R-HSA-5625886	36	0.14	0.6	0.6	0	1	1	ccrcc
64	R-HSA-2033519	17	0.12	0.5	0.5	0	1	1	ccrcc
