	cancer_type	pathway_name	pathway_id	url
0	ccrcc	RNA Polymerase II Transcription	R-HSA-73857	https://reactome.org/PathwayBrowser/#/R-HSA-73857&DTAB=AN&ANALYSIS=MjAyMDA2MDIwMjU5MThfMTY2NjY%3D
1	colon	RNA Polymerase II Transcription	R-HSA-73857	https://reactome.org/PathwayBrowser/#/R-HSA-73857&DTAB=AN&ANALYSIS=MjAyMDA2MDMxODE2NDRfMTkxMzc%3D
2	endometrial	RNA Polymerase II Transcription	R-HSA-73857	https://reactome.org/PathwayBrowser/#/R-HSA-73857&DTAB=AN&ANALYSIS=MjAyMDA2MDMxODE4MjdfMTkxMzk%3D
3	gbm	RNA Polymerase II Transcription	R-HSA-73857	https://reactome.org/PathwayBrowser/#/R-HSA-73857&DTAB=AN&ANALYSIS=MjAyMDA2MDMxODIwMTVfMTkxNDA%3D
4	hnscc	RNA Polymerase II Transcription	R-HSA-73857	https://reactome.org/PathwayBrowser/#/R-HSA-73857&DTAB=AN&ANALYSIS=MjAyMDA2MDMxODIyMDBfMTkxNDI%3D
5	lscc	RNA Polymerase II Transcription	R-HSA-73857	https://reactome.org/PathwayBrowser/#/R-HSA-73857&DTAB=AN&ANALYSIS=MjAyMDA2MDMxODIzNDRfMTkxNDM%3D
6	luad	RNA Polymerase II Transcription	R-HSA-73857	https://reactome.org/PathwayBrowser/#/R-HSA-73857&DTAB=AN&ANALYSIS=MjAyMDA2MDMxODI1MjdfMTkxNDU%3D
7	ovarian	RNA Polymerase II Transcription	R-HSA-73857	https://reactome.org/PathwayBrowser/#/R-HSA-73857&DTAB=AN&ANALYSIS=MjAyMDA2MDMxODI3MTFfMTkxNDY%3D
8	ccrcc	Generic Transcription Pathway	R-HSA-212436	https://reactome.org/PathwayBrowser/#/R-HSA-212436&DTAB=AN&ANALYSIS=MjAyMDA2MDIwMjU5MThfMTY2NjY%3D
9	colon	Generic Transcription Pathway	R-HSA-212436	https://reactome.org/PathwayBrowser/#/R-HSA-212436&DTAB=AN&ANALYSIS=MjAyMDA2MDMxODE2NDRfMTkxMzc%3D
10	endometrial	Generic Transcription Pathway	R-HSA-212436	https://reactome.org/PathwayBrowser/#/R-HSA-212436&DTAB=AN&ANALYSIS=MjAyMDA2MDMxODE4MjdfMTkxMzk%3D
11	gbm	Generic Transcription Pathway	R-HSA-212436	https://reactome.org/PathwayBrowser/#/R-HSA-212436&DTAB=AN&ANALYSIS=MjAyMDA2MDMxODIwMTVfMTkxNDA%3D
12	hnscc	Generic Transcription Pathway	R-HSA-212436	https://reactome.org/PathwayBrowser/#/R-HSA-212436&DTAB=AN&ANALYSIS=MjAyMDA2MDMxODIyMDBfMTkxNDI%3D
13	lscc	Generic Transcription Pathway	R-HSA-212436	https://reactome.org/PathwayBrowser/#/R-HSA-212436&DTAB=AN&ANALYSIS=MjAyMDA2MDMxODIzNDRfMTkxNDM%3D
14	luad	Generic Transcription Pathway	R-HSA-212436	https://reactome.org/PathwayBrowser/#/R-HSA-212436&DTAB=AN&ANALYSIS=MjAyMDA2MDMxODI1MjdfMTkxNDU%3D
15	ovarian	Generic Transcription Pathway	R-HSA-212436	https://reactome.org/PathwayBrowser/#/R-HSA-212436&DTAB=AN&ANALYSIS=MjAyMDA2MDMxODI3MTFfMTkxNDY%3D
16	ccrcc	Nervous system development	R-HSA-9675108	https://reactome.org/PathwayBrowser/#/R-HSA-9675108&DTAB=AN&ANALYSIS=MjAyMDA2MDIwMjU5MThfMTY2NjY%3D
17	colon	Nervous system development	R-HSA-9675108	https://reactome.org/PathwayBrowser/#/R-HSA-9675108&DTAB=AN&ANALYSIS=MjAyMDA2MDMxODE2NDRfMTkxMzc%3D
