Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Phenylalanine metabolism,0.7334735517588535,1.9080444839438504,0.0,0.09632678842900884,17,11,MAOB;MAOA;AOC3;ALDH1A3;MIF;ALDH3B1;ALDH3A1;IL4I1;GOT1;GOT2;DDC,MAOB;MAOA;AOC3;ALDH1A3;MIF
Protein export,0.6989676299908526,1.9198822304971375,0.006666666666666667,0.101766005990574,23,20,HSPA5;SRP14;SEC61A1;SRP68;SEC61B;SEC61A2;SEC11A;SRPRA;SPCS2;SEC63;SRP19;SEC62;SRP9;SRP54;OXA1L;SRP72;SRPRB;SPCS1;SPCS3;SEC11C,HSPA5;SRP14;SEC61A1;SRP68;SEC61B;SEC61A2;SEC11A;SRPRA;SPCS2;SEC63;SRP19;SEC62;SRP9;SRP54;OXA1L
ECM-receptor interaction,0.660883349276424,1.997251078544787,0.0,0.10264329914566517,82,69,LAMB2;ITGA7;LAMC1;VWF;COL4A1;TNXB;COL4A2;LAMA5;LAMA2;LAMA4;HSPG2;COL4A5;COL6A2;ITGA1;COL6A1;COL6A3;COL6A6;ITGA6;ITGA5;VTN;ITGB3;CD44;COL6A5;ITGB1;COL4A6;ITGA2B;GP1BB;COL4A3;GP9;CD47;DAG1;GP1BA;COL1A1;ITGA9;LAMB1;COL1A2;ITGA11;ITGB4;CD36;SDC4;COL2A1;ITGB6;ITGB8;SV2A;ITGA2;LAMA3;THBS3;HMMR;GP5;LAMC3;ITGB7;SDC1;THBS4;ITGB5;THBS2;TNC;THBS1;ITGA4;LAMA1;LAMB3;COMP;AGRN;COL9A2;LAMC2;FN1;ITGA3;SPP1;TNN;ITGAV,LAMB2;ITGA7;LAMC1;VWF;COL4A1;TNXB;COL4A2;LAMA5;LAMA2;LAMA4;HSPG2;COL4A5;COL6A2;ITGA1;COL6A1;COL6A3;COL6A6;ITGA6;ITGA5;VTN;ITGB3;CD44;COL6A5;ITGB1;COL4A6;ITGA2B;GP1BB;COL4A3;GP9;CD47;DAG1;GP1BA;COL1A1;ITGA9;LAMB1
Complement and coagulation cascades,0.6983044403602618,2.233922073446355,0.003289473684210526,0.10580155450399333,79,73,VWF;SERPIND1;PROCR;CFD;SERPINF2;C7;F10;SERPINC1;F2;A2M;F13B;PROC;C3;KLKB1;KNG1;F5;PROS1;C8A;VTN;C5;F13A1;SERPINA1;C8G;PLG;CPB2;C4A;MBL2;C4B;F12;CFB;C8B;MASP1;C2;C6;C1S;SERPING1;CFH;C4BPA;CFI;C9;PLAT;CLU;F11;C1R;FGA;C4BPB;FGB;FGG;F9;C1QB;SERPINA5;ITGAM;C1QC;MASP2;C1QA;THBD;F3;C3AR1;CD55;F7;CR1;VSIG4;SERPINE1;SERPINB2;PLAUR;F8;ITGAX;ITGB2;C5AR1;PLAU;CD46;CD59;CR2,VWF;SERPIND1;PROCR;CFD;SERPINF2;C7;F10;SERPINC1;F2;A2M;F13B;PROC;C3;KLKB1;KNG1;F5;PROS1;C8A;VTN;C5;F13A1;SERPINA1;C8G;PLG;CPB2;C4A;MBL2;C4B;F12;CFB;C8B;MASP1;C2;C6;C1S;SERPING1;CFH;C4BPA;CFI;C9;PLAT;CLU;F11;C1R;FGA;C4BPB;FGB;FGG
Ribosome,0.6623911959926703,2.0784911192663995,0.0,0.10738068218315741,153,128,RPS13;RPL35;RPL18;RPL11;RPL10A;RPL6;RPS8;RPL7;RPS11;RPL26;RPS19;RPLP0;RPL26L1;RPL37;RPS9;RPL17;RPS15A;RPL7A;RPS3;RPL23A;RPS12;RPLP2;RPS24;RPL34;RPS5;RPS4X;RPL24;RPS3A;RPL13A;RPS25;RPL4;RPS2;RPS27;RPL3;RPS6;RPS10;RPS27L;RPL9;RPS10-NUDT3;RPS4Y2;RPL28;RPS7;RPL31;RPL36AL;RPL5;RPS29;RPS28;RPSA;RPL32;RPL27A;RPL22;RPL13;RPL21;RPL14;RPL27;RPS21;MRPL28;RPL38;RPL8;RPL10;MRPL12;MRPS17;RPL12;FAU;RPL36A;RPL35A;RPS20;RPS16;RSL24D1;RPL23;MRPS21;RPL3L;RPLP1;RPL15;RPS17;RPS18;MRPS16;MRPS7;MRPL3;MRPL11;MRPL15;RPS23;RPL37A;MRPS9;MRPL30;MRPL10;MRPL16;RPL29;MRPL19;MRPS10;MRPS15;MRPL1;MRPL9;MRPS12;RPL19;RPS15;RPL18A;MRPS6;RPL39;RPL22L1;RPS26;RPS27A;MRPS18C;MRPL17;MRPL18;MRPL2;RPL30;MRPL32;MRPL24;MRPL20;MRPL21;MRPL35;RPL36;MRPL33;MRPS2;MRPS18A;MRPL27;MRPL4;MRPS5;MRPL23;MRPS11;UBA52;RPS14;MRPL22;MRPL14;MRPL13;MRPL34;MRPS14,RPS13;RPL35;RPL18;RPL11;RPL10A;RPL6;RPS8;RPL7;RPS11;RPL26;RPS19;RPLP0;RPL26L1;RPL37;RPS9;RPL17;RPS15A;RPL7A;RPS3;RPL23A;RPS12;RPLP2;RPS24;RPL34;RPS5;RPS4X;RPL24;RPS3A;RPL13A;RPS25;RPL4;RPS2;RPS27;RPL3;RPS6;RPS10;RPS27L;RPL9;RPS10-NUDT3;RPS4Y2;RPL28;RPS7;RPL31;RPL36AL;RPL5;RPS29;RPS28;RPSA;RPL32;RPL27A;RPL22;RPL13;RPL21;RPL14;RPL27;RPS21;MRPL28;RPL38;RPL8;RPL10;MRPL12;MRPS17;RPL12;FAU;RPL36A;RPL35A
Tyrosine metabolism,0.720152660961189,2.0242731715303943,0.0,0.11117058861315118,36,22,MAOB;MAOA;AOC3;AOX1;ADH1C;ADH1A;ADH1B;ALDH1A3;ADH4;MIF;ADH5;ALDH3B1;ALDH3A1;FAH;FAHD1;IL4I1;COMT;HGD;GOT1;GSTZ1;GOT2;DDC,MAOB;MAOA;AOC3;AOX1;ADH1C;ADH1A;ADH1B;ALDH1A3;ADH4;MIF;ADH5
Non-homologous end-joining,0.7758381724621519,1.9525464751343822,0.0,0.11279483422600567,13,10,PRKDC;XRCC5;XRCC6;RAD50;FEN1;MRE11;LIG4;NHEJ1;POLM;XRCC4,PRKDC;XRCC5;XRCC6;RAD50;FEN1;MRE11
Retinol metabolism,0.7125362257375434,1.9205021334476342,0.0,0.11409197481960474,67,21,ALDH1A1;AOX1;ALDH1A2;ADH1C;ADH1A;ADH1B;ADH4;ADH5;RETSAT;DGAT1;DHRS4L2;CYP2S1;CYP4A11;HSD17B6;DHRS3;DHRS9;RDH11;PNPLA4;SDR16C5;RDH10;DHRS4,ALDH1A1;AOX1;ALDH1A2;ADH1C;ADH1A;ADH1B;ADH4;ADH5
Histidine metabolism,0.6518719409944078,1.8128473560954268,0.0034129692832764505,0.12633021433312636,23,16,MAOB;MAOA;ASPA;ALDH1A3;HNMT;CNDP1;ALDH1B1;ALDH2;ALDH9A1;ALDH3B1;CNDP2;ALDH3A1;CARNMT1;ALDH3A2;ALDH7A1;AOC1,MAOB;MAOA;ASPA;ALDH1A3;HNMT;CNDP1;ALDH1B1;ALDH2;ALDH9A1
Maturity onset diabetes of the young,0.8634378721714997,2.337220034057409,0.2549019607843137,0.13580498040811084,26,1,PKLR,PKLR
