Term	es	nes	pval	fdr	geneset_size	matched_size	genes	ledge_genes	cancer_type
Fatty acid degradation	0.7073256816019808	2.0783846894812066	0.003289473684210526	0.06006747480337587	44	40	ADH1B;ALDH9A1;ADH4;ECHS1;ADH1C;ACADSB;ALDH2;ACAT1;ADH1A;HADH;ALDH7A1;ACADS;ADH5;ACOX3;ACADVL;ADH7;ACSL4;ALDH3A2;GCDH;CPT2;ACAA1;HADHA;ECI1;ECI2;ACADM;ACSL1;HADHB;ACAT2;ACAA2;CPT1A;ACOX1;CPT1B;EHHADH;ACSL3;ALDH1B1;ACSL5;ACSL6;ACADL;ADH6;CPT1C	ADH1B;ALDH9A1;ADH4;ECHS1;ADH1C;ACADSB;ALDH2;ACAT1;ADH1A;HADH;ALDH7A1;ACADS;ADH5;ACOX3;ACADVL;ADH7;ACSL4;ALDH3A2;GCDH;CPT2;ACAA1;HADHA;ECI1;ECI2;ACADM;ACSL1	hnscc
Vitamin digestion and absorption	0.8289527207407946	2.0794510038075336	0.0	0.06757590915379785	24	11	BTD;APOA4;APOA1;APOB;LMBRD1;SLC5A6;SLC19A1;MMACHC;TCN2;SCARB1;FOLH1	BTD;APOA4;APOA1;APOB	hnscc
Pyruvate metabolism	0.6359175662348462	1.8370070169186066	0.00980392156862745	0.06904141079809709	39	36	ALDH9A1;ALDH2;ME3;ACAT1;LDHD;GRHPR;ALDH7A1;PDHB;DLAT;FH;PDHA1;ALDH3A2;ACSS2;MDH1;DLD;PKLR;HAGH;MDH2;ACAT2;GLO1;ACYP1;ACYP2;ME1;LDHB;ACSS1;ME2;ALDH1B1;PKM;ACACB;PC;PCK2;LDHA;PCK1;LDHC;ACACA;LDHAL6B	ALDH9A1;ALDH2;ME3;ACAT1;LDHD;GRHPR;ALDH7A1;PDHB;DLAT;FH;PDHA1;ALDH3A2;ACSS2;MDH1;DLD;PKLR;HAGH;MDH2	hnscc
Tryptophan metabolism	0.7158512898710443	2.0089130629568674	0.0	0.07075856423990225	42	35	MAOB;ALDH9A1;ECHS1;ALDH2;HAAO;ACAT1;HADH;MAOA;KYAT3;ALDH7A1;AOX1;ALDH3A2;GCDH;IL4I1;DLD;KYNU;HADHA;DLST;CAT;ACAT2;DHTKD1;IDO1;EHHADH;ALDH1B1;AOC1;AADAT;ALDH8A1;KMO;CYP1B1;DDC;AFMID;CYP1A1;INMT;KYAT1;TPH1	MAOB;ALDH9A1;ECHS1;ALDH2;HAAO;ACAT1;HADH;MAOA;KYAT3;ALDH7A1;AOX1;ALDH3A2;GCDH;IL4I1;DLD;KYNU;HADHA;DLST;CAT;ACAT2;DHTKD1;IDO1	hnscc
Retrograde endocannabinoid signaling	0.6157314569172264	1.8386333320817563	0.022653721682847898	0.07178244165132343	148	89	MAPK3;MGLL;GNG11;PLCB1;ITPR3;GNB2;GNB1;NDUFS3;NDUFV2;NDUFS1;PLCB4;NDUFA10;NDUFS2;NDUFV1;FAAH;NDUFA9;NDUFS8;NDUFB5;NDUFAB1;NDUFA13;NDUFA5;NDUFA3;NDUFB10;NDUFB9;NDUFB11;GNG12;NDUFA8;NDUFS5;NDUFA4;NDUFB7;NDUFA6;NDUFS6;NDUFA2;NDUFS4;NDUFB4;NDUFB1;NDUFA7;NDUFB6;NDUFA12;NDUFB8;NDUFB3;GNAI2;MAPK9;NDUFC2;DAGLB;MAPK8;PRKACA;GNB4;NDUFS7;NDUFV3;GNAQ;GNAI1;GNG10;PRKCB;GNG2;GNAO1;MAPK13;PLCB2;PRKACB;GNG5;NDUFA11;ABHD6;ITPR2;GNAI3;MAPK1;NDUFA4L2;ITPR1;PRKCA;ADCY4;CACNA1S;MAPK12;MAPK14;NDUFA1;NDUFB2;NAPEPLD;GNG7;PTGS2;ADCY9;MAPK11;GABRB1;PLCB3;GNG4;ADCY6;ADCY3;NDUFC1;GNB5;CACNA1F;GNB3;ADCY7	MAPK3;MGLL;GNG11;PLCB1;ITPR3;GNB2;GNB1;NDUFS3;NDUFV2;NDUFS1;PLCB4;NDUFA10;NDUFS2;NDUFV1;FAAH;NDUFA9;NDUFS8;NDUFB5;NDUFAB1;NDUFA13;NDUFA5;NDUFA3;NDUFB10;NDUFB9;NDUFB11;GNG12;NDUFA8;NDUFS5;NDUFA4;NDUFB7;NDUFA6;NDUFS6;NDUFA2;NDUFS4;NDUFB4;NDUFB1;NDUFA7;NDUFB6;NDUFA12;NDUFB8;NDUFB3;GNAI2;MAPK9;NDUFC2;DAGLB;MAPK8;PRKACA;GNB4;NDUFS7;NDUFV3;GNAQ;GNAI1;GNG10;PRKCB	hnscc
Glyoxylate and dicarboxylate metabolism	0.7328780724020953	2.0973747948447423	0.0	0.0721119856718669	30	25	HYI;PCCA;PCCB;SHMT1;ACAT1;GRHPR;MCEE;ACSS2;MDH1;DLD;ACO1;ACO2;CS;GCSH;CAT;MDH2;ACAT2;SHMT2;ACSS1;PGP;GLUL;AMT;AFMID;GLDC;AGXT	HYI;PCCA;PCCB;SHMT1;ACAT1;GRHPR;MCEE;ACSS2;MDH1;DLD;ACO1;ACO2;CS;GCSH;CAT;MDH2;ACAT2;SHMT2	hnscc
Ubiquinone and other terpenoid-quinone biosynthesis	0.7028125794139818	1.795733807504223	0.088	0.07265743784380094	11	8	COQ3;COQ6;COQ7;COQ5;VKORC1L1;VKORC1;NQO1;GGCX	COQ3;COQ6;COQ7;COQ5	hnscc
Butanoate metabolism	0.651950364531784	1.8025147108686888	0.01020408163265306	0.07292615325203315	28	20	ECHS1;BDH2;ACAT1;HADH;ACADS;ALDH5A1;BDH1;HMGCS2;OXCT1;HADHA;ABAT;ACAT2;HMGCL;L2HGDH;EHHADH;AACS;HMGCS1;ACSM5;ACSM3;HMGCLL1	ECHS1;BDH2;ACAT1;HADH;ACADS;ALDH5A1;BDH1;HMGCS2;OXCT1;HADHA;ABAT;ACAT2	hnscc
Cardiac muscle contraction	0.5857715021723167	1.759533540728193	0.05537459283387622	0.07308351337256948	78	53	TPM4;COX5A;UQCRC1;UQCRC2;COX4I1;COX5B;UQCRFS1;COX6A1;ACTC1;COX6B1;COX7B;TPM1;UQCRB;COX6C;COX7C;UQCRH;CYC1;ATP1B1;TPM2;ATP1A2;MYL4;UQCRQ;UQCR10;MYH6;MYL2;COX7A1;CACNB1;COX8A;TPM3;TNNC1;MYL3;COX7A2;MYH7;CACNA2D1;ATP2A2;SLC9A1;COX7A2L;ATP1B3;ATP1A1;COX6A2;UQCR11;SLC9A6;CACNA1S;ATP1B2;FXYD2;SLC8A1;TNNT2;ATP1B4;CACNG1;CACNA2D2;CACNA1F;ATP1A3;CACNG6	TPM4;COX5A;UQCRC1;UQCRC2;COX4I1;COX5B;UQCRFS1;COX6A1;ACTC1;COX6B1;COX7B;TPM1;UQCRB;COX6C;COX7C;UQCRH;CYC1;ATP1B1;TPM2;ATP1A2;MYL4;UQCRQ;UQCR10;MYH6;MYL2;COX7A1;CACNB1;COX8A;TPM3;TNNC1;MYL3;COX7A2;MYH7;CACNA2D1	hnscc
Phenylalanine, tyrosine and tryptophan biosynthesis	0.7162259134838689	1.8413617322316604	0.20476190476190476	0.07334587939584555	5	3	GOT1;IL4I1;GOT2	GOT1;IL4I1	hnscc
Retinol metabolism	0.6694107806010249	1.8492587336537234	0.0	0.07342311268408266	67	30	ADH1B;ADH4;ALDH1A1;ADH1C;ADH1A;UGT1A7;ADH5;AOX1;ADH7;UGT1A10;RETSAT;UGT1A6;RDH10;RDH11;DHRS4;SDR16C5;CYP2C18;ALDH1A2;CYP3A5;DHRS3;UGT1A8;CYP2S1;PNPLA4;RDH12;RDH16;DGAT1;ADH6;CYP27C1;CYP1A1;DHRS9	ADH1B;ADH4;ALDH1A1;ADH1C;ADH1A;UGT1A7;ADH5;AOX1;ADH7	hnscc
Non-alcoholic fatty liver disease (NAFLD)	0.589453793378811	1.806769481957865	0.02258064516129032	0.07393847802102291	149	124	BAX;ADIPOQ;COX5A;TGFB1;UQCRC1;UQCRC2;COX4I1;COX5B;BID;NDUFS3;NDUFV2;NDUFS1;UQCRFS1;COX6A1;NDUFA10;NDUFS2;NDUFV1;NDUFA9;PKLR;NDUFS8;COX6B1;NDUFB5;NDUFAB1;NDUFA13;NDUFA5;NDUFA3;SDHB;SDHA;NDUFB10;NDUFB9;NDUFB11;COX7B;NDUFA8;CASP8;NDUFS5;NDUFA4;NDUFB7;UQCRB;NDUFA6;COX6C;NDUFS6;COX7C;NDUFA2;NDUFS4;IRS1;CASP7;NDUFB4;UQCRH;RELA;NDUFB1;CYC1;NDUFA7;NDUFB6;NDUFA12;NDUFB8;NDUFB3;PRKAB1;AKT2;MAPK9;NDUFC2;PRKAA2;MAPK8;CYCS;PIK3CB;PRKAB2;NDUFS7;PIK3CD;NDUFV3;ITCH;UQCRQ;CASP3;UQCR10;EIF2S1;COX7A1;JUN;PIK3CA;COX8A;COX7A2;PRKAG1;IRS2;TRAF2;RAC1;GSK3B;MAP3K5;GSK3A;NDUFA11;MAP3K11;CDC42;COX7A2L;PIK3R1;AKT1;PRKAA1;CXCL8;COX6A2;UQCR11;NDUFA4L2;INSR;AKT3;FAS;RXRA;IL1A;MLX;PRKAG2;ERN1;NDUFA1;NDUFB2;MLXIP;IKBKB;SDHD;LEP;LEPR;MLXIPL;EIF2AK3;NFKB1;BCL2L11;IL6R;ADIPOR1;TNFRSF1A;SDHC;NDUFC1;CEBPA;PIK3R2;IL1B;SREBF1	BAX;ADIPOQ;COX5A;TGFB1;UQCRC1;UQCRC2;COX4I1;COX5B;BID;NDUFS3;NDUFV2;NDUFS1;UQCRFS1;COX6A1;NDUFA10;NDUFS2;NDUFV1;NDUFA9;PKLR;NDUFS8;COX6B1;NDUFB5;NDUFAB1;NDUFA13;NDUFA5;NDUFA3;SDHB;SDHA;NDUFB10;NDUFB9;NDUFB11;COX7B;NDUFA8;CASP8;NDUFS5;NDUFA4;NDUFB7;UQCRB;NDUFA6;COX6C;NDUFS6;COX7C;NDUFA2;NDUFS4;IRS1;CASP7;NDUFB4;UQCRH;RELA;NDUFB1;CYC1;NDUFA7;NDUFB6;NDUFA12;NDUFB8;NDUFB3;PRKAB1;AKT2;MAPK9;NDUFC2;PRKAA2;MAPK8;CYCS;PIK3CB;PRKAB2;NDUFS7;PIK3CD;NDUFV3;ITCH;UQCRQ;CASP3;UQCR10;EIF2S1	hnscc
