t	N
0	150
0.32278486796990163	151
0.5673280134258921	150
0.7431348104004567	149
0.8871668767120905	150
0.9322437104575659	149
0.9662440670697658	148
1.0067467559610461	147
1.3621100957844121	148
1.4132815358386113	149
1.7781159231992603	148
1.9020842320196525	147
2.1514441699917817	146
2.713709903009624	147
2.8572354514133576	146
2.926647968735899	147
2.9829267052690747	146
3.155417257889977	145
3.1977008448754343	144
3.3284554682871437	143
4.138854165115845	142
4.384945077748979	143
4.718241881264168	144
5.0478204036983625	143
5.339548119973077	142
5.342750735043337	143
5.390537567508611	144
5.6709615190808	145
5.74186791728385	144
6.171113853990285	143
6.337157398272212	142
6.4977399968671135	143
6.735278067661943	144
6.998553976649429	145
7.05183873478335	146
7.552552677777328	147
7.701432984231154	148
8.420054472010445	149
8.558233247374423	148
9.28246297279934	147
9.313667830640552	146
9.480178176593805	145
9.745262646247417	146
9.765729038439654	147
9.786265620467315	146
9.862087503561925	147
9.883056388738153	148
10.39886619601864	147
10.621739581822192	146
10.637390734306889	147
10.987212436113658	148
11.052529762359695	147
11.079824723262163	146
11.089785762697485	147
11.37569963642039	146
11.546450930118485	145
11.7496963451911	144
11.869386071727588	145
12.070424068085117	146
12.157069901164634	145
12.464063335081372	146
12.51846481236251	147
12.899713060693303	148
12.960008473341178	147
13.021076329854385	146
13.321586680149508	145
14.112855214788471	146
14.791422474057486	147
14.964636629341907	146
15.03030417940105	145
15.183970146353623	146
15.495193348170101	147
15.556676801523107	148
15.799785599362515	149
16.25622856240353	148
16.93482142503876	149
17.309072762278863	150
17.31515456678589	151
17.601596353633084	150
17.632296913191162	149
17.644925154151327	150
17.655854684830704	149
17.843010288781713	150
17.858814598232822	149
18.38798135568148	148
18.416876615591196	149
18.482278226483224	148
18.493450366276505	149
18.551023801519744	150
18.586883335500588	151
18.791218888187906	150
18.893670537604613	149
19.16970372075088	148
19.219006439200246	147
19.3765123823553	148
19.64261371186843	149
19.715284596346518	148
19.8103383504276	149
20.178600080649698	150
20.321095904400874	149
20.707708896516237	148
20.725034815429044	147
20.81199066754856	146
20.82848522561074	147
20.946494114744993	146
20.98736041388708	145
21.143235813959347	144
21.25967420013519	145
21.299589751132842	144
21.578806749947102	145
21.814142454815826	144
22.083189858276594	145
22.671712305752425	144
22.87644855325736	143
23.111361759757084	144
23.170466399660366	145
23.175326764584792	146
23.315907797592153	145
23.375423095564624	144
23.43266552652839	145
23.853309622904362	144
23.931002254102406	145
24.125423809129927	146
24.32128972287791	147
24.41358028820123	148
24.468288733391205	149
24.7791017453162	150
24.84997400798295	151
24.980422536321324	150
25.17632217442737	149
25.495421167097003	150
25.62706963398881	151
25.788173664770778	152
25.873082295852022	151
26.05319461997143	150
26.227931673216904	149
26.381603814144373	150
26.417287586668426	151
26.45135059452353	150
26.653417190893535	151
26.78151135266365	152
26.845736838857412	153
26.85600651072631	152
27.360591332728454	151
28.114654103558575	150
28.339616633952836	151
28.36473334450368	152
28.456880094587166	151
28.628519470698883	152
28.6797182430037	153
29.15627043755501	152
29.255832139070645	151
29.488405547389924	150
30.508684707436235	149
30.856919387429283	150
31.222640219930078	149
31.874499090560285	150
31.923750658352755	151
31.956359869333202	152
32.04005391573838	153
32.06890378611057	154
32.11275391685342	155
32.22559282717551	156
32.275319960905925	157
32.504088305905526	156
32.625264031494034	155
32.857782877415055	156
33.0496092872663	155
33.61829192152577	154
33.681420059683084	153
33.89201175000675	154
33.91824557329639	153
34.027452155509586	152
34.07549966821829	153
34.24861368698455	152
34.27971376190617	153
34.374450038906105	154
35.315311738184164	153
35.43271911925393	152
35.46948120272157	153
35.68504212601953	152
35.7257304959904	153
35.73391701905491	152
35.82741307482715	153
36.25365723082222	152
36.34580267974994	151
37.0806942397699	150
37.243979189367785	151
37.35311643087455	152
37.63187555680786	153
37.6794868704286	152
37.7421286459908	151
37.81295991301732	150
37.81499005490246	149
37.933913312291665	148
38.25353416799525	149
