t	N
0	150
0.0037293821468231425	149
0.2550637273942411	150
0.44286217641614334	149
0.6486131902008256	148
1.5147096713896016	147
1.582269171596024	146
1.8222079736956516	145
1.823284326869346	146
2.4627885577845436	147
2.826887485852639	146
2.995556228488894	147
3.0663316623506884	148
3.3384269609531527	147
3.4150464489541505	146
3.5630484625208765	145
3.7068811261728483	144
3.7751309877896624	145
3.83042103320903	144
3.8654575495497494	143
4.05595141245981	144
4.133453202221485	145
4.558712407478572	144
4.729479822051447	143
4.936186726022435	144
5.294439849736501	145
5.388604711722976	146
5.518373109378306	145
5.533318393785269	144
5.762478904306723	143
6.042610048979328	142
6.0738718644927445	141
6.859415845190199	140
7.705832558327499	141
7.707036369017509	142
8.150200580665068	141
8.204365214688716	140
8.270017742275245	139
8.302627214619056	138
8.866529543550614	139
9.111195757773304	138
9.451139287240554	139
9.498222374569114	140
9.545629941304624	141
9.763208390512863	140
9.86104241515583	141
9.92079203962578	140
10.054857826340571	141
11.21691938601316	140
11.529191572964166	141
11.644578723708403	140
11.894162452288054	141
12.058597768153614	140
12.286869471162884	139
12.391300568884338	138
12.619091097544151	139
12.788290810298268	138
13.646372608385672	137
14.477361359830608	136
14.73620159581651	137
15.609297553605177	136
16.28307271892989	137
16.47284012769446	136
16.890701727768967	137
17.62482158210534	136
18.123551061193712	135
18.43026207860796	136
18.5039141662725	135
19.168633546648284	136
19.358691644821416	135
19.43283610316967	136
19.55537023984892	137
19.584176551364756	136
19.74722709567762	135
19.8142328246963	136
19.827249435678098	135
19.90233393220742	134
20.058072383654707	135
20.37784890984453	134
20.67627326966679	133
21.06043697545959	134
21.16894222486869	133
21.34957119744671	134
21.58040189386762	135
21.72944327916849	136
21.771486537248283	137
21.847929129670934	138
22.027267782680784	139
22.036299128798163	140
22.072059899202856	139
22.460032747897156	138
22.502975082021447	139
23.16457977314819	138
23.501667319808632	139
23.874658870931263	140
24.225606603058463	139
24.863886695266714	138
24.938130709126295	137
24.976038992879896	136
25.03685448382783	135
25.490532507346934	136
25.704338698179328	135
25.88592504941806	134
26.315662413710662	135
26.372382347000762	134
26.39818082282442	135
26.42586287186968	134
26.48314262605492	133
27.034047724521272	132
27.07007132571318	133
27.27077708609471	134
27.86584686665734	135
28.160310264998692	136
28.21357964565383	135
28.60799903637187	136
29.300815571698784	137
29.42748069029841	138
29.57257065964024	139
29.633159064574663	140
29.6961188930411	141
29.794231928714552	142
30.223909300685335	141
30.249885397903668	140
30.318354351804885	139
30.36734929659878	140
30.52348862119006	141
30.524265205120738	142
30.757952540599696	141
31.311451037527213	142
32.30557907502811	143
32.63463405108749	144
33.142988941787685	145
33.24963963401703	144
33.37554205472693	143
33.46608451754292	144
33.59215228890924	145
33.81522947043196	146
33.86095268956801	147
34.086787003529466	148
34.097924066033634	149
34.18081581386081	148
34.326290762273494	147
